Actor1CountryCode,Actor2CountryCode,Strength,Month
ISR,PSE,-7.558858808,1
USA,CHN,4.671059679,1
GBR,USA,3.43645741,1
USA,GBR,3.761095152,1
USA,IRN,3.098378432,1
CHN,USA,4.543376807,1
PSE,ISR,-7.299742679,1
USA,RUS,2.161364962,1
USA,ISR,2.363372942,1
IRN,USA,2.449372989,1
USA,FRA,2.909320313,1
RUS,UKR,-0.761441717,1
USA,SYR,1.449170205,1
RUS,USA,2.886121518,1
FRA,USA,2.959980904,1
RUS,SYR,-1.854254223,1
USA,CAN,3.581925666,1
CAN,USA,3.598122933,1
ISR,USA,2.163559399,1
UKR,RUS,-0.637624444,1
USA,CUB,6.646264923,1
USA,IRQ,0.519977118,1
CUB,USA,6.393397321,1
USA,JPN,3.635405795,1
USA,MEX,1.834063628,1
JPN,USA,3.83081534,1
TUR,SYR,-3.631186856,1
MEX,USA,1.324323141,1
DEU,USA,3.972855486,1
PAK,AFG,1.36024325,1
USA,DEU,4.637808288,1
AUS,USA,3.25512866,1
IRQ,USA,-0.979818681,1
SYR,USA,1.807014569,1
ZAF,AFR,-0.60850813,1
AFG,PAK,0.615658591,1
USA,AFR,1.387251839,1
TUR,RUS,-3.278872595,1
USA,AFG,1.295430823,1
USA,AUS,3.858420766,1
AFR,USA,0.931739096,1
SYR,RUS,1.10298826,1
RUS,TUR,-1.880050877,1
USA,EUR,5.055572693,1
GBR,FRA,5.220597736,1
FRA,GBR,5.29843808,1
DEU,FRA,7.634475876,1
FRA,DEU,7.48383715,1
SYR,TUR,-0.841512527,1
CHN,JPN,3.876367574,1
RUS,IRN,7.689742479,1
SAU,YEM,-8.368738574,1
AFR,ZAF,1.85741167,1
ISR,IRN,-1.598707735,1
EUR,USA,4.581346378,1
JPN,CHN,4.190420151,1
USA,TUR,3.026184763,1
RUS,CHN,8.490337034,1
AFG,USA,-1.661107392,1
USA,PAK,2.659248909,1
USA,SAU,3.602878958,1
CHN,RUS,8.594180026,1
USA,ITA,4.106709034,1
ITA,USA,3.669945197,1
FRA,RUS,7.491621622,1
TUR,USA,2.84064416,1
GBR,CHN,8.248738063,1
IRN,RUS,8.259627045,1
SAU,USA,2.033625887,1
GBR,SYR,0.67692926,1
IRN,SYR,3.544738987,1
IRN,ISR,-0.309105795,1
CHN,GBR,7.962195561,1
RUS,FRA,7.663844861,1
DEU,RUS,6.651434081,1
IRQ,SYR,-3.559280517,1
SYR,IRQ,-3.373410733,1
PAK,USA,2.13651834,1
IRL,GBR,3.245480483,1
GBR,EUR,5.166227265,1
GBR,IRL,3.542316523,1
USA,VNM,3.64870697,1
USA,UKR,4.227000902,1
YEM,SAU,-5.755767548,1
GBR,DEU,6.122836538,1
GBR,RUS,3.271051329,1
RUS,DEU,7.570620117,1
IRN,SAU,-1.033506625,1
DEU,GBR,6.384447426,1
GRC,EUR,5.291165256,1
VNM,USA,2.339266072,1
IRN,IRQ,1.658202568,1
IRL,USA,3.361109783,1
DEU,GRC,4.180773829,1
USA,ESP,3.720769525,1
KOR,JPN,5.831347225,1
ESP,USA,2.493847064,1
CHN,PAK,8.217451496,1
USA,IRL,3.185255932,1
LBN,SYR,-2.796705812,1
KOR,PRK,0.533765065,1
EUR,GRC,5.662448959,1
SAU,IRN,-0.780155701,1
EUR,RUS,0.778993154,1
USA,EGY,2.864299701,1
RUS,GBR,4.433821248,1
DEU,EUR,3.894487488,1
JOR,USA,0.006902711,1
PRK,KOR,-1.079302474,1
GRC,USA,2.708827279,1
AUS,GBR,4.148946542,1
PAK,CHN,8.412863504,1
CHN,TWN,5.134561907,1
USA,GRC,3.557819225,1
GBR,AUS,4.385873007,1
AUS,IDN,0.961308589,1
RUS,EUR,3.545578575,1
JPN,KOR,6.934443944,1
IRQ,IRN,0.88917255,1
EGY,USA,1.710397779,1
TWN,CHN,5.863553856,1
FRA,SYR,-3.145674642,1
IDN,AUS,-1.440583357,1
TUR,IRQ,-1.756356079,1
IND,PAK,-0.26505864,1
CAN,GBR,3.713209189,1
AUS,NZL,4.126145271,1
SYR,IRN,-0.076209044,1
USA,KOR,4.618567269,1
USA,NGA,3.974501341,1
ISR,SYR,-8.231246718,1
KOR,USA,4.782363285,1
EUR,GBR,5.583233533,1
USA,PHL,4.282928137,1
PHL,USA,3.778347167,1
GBR,CAN,4.015060684,1
SYR,LBN,-2.587259021,1
USA,JOR,1.249428518,1
SYR,GBR,0.572527128,1
FRA,EUR,2.298693852,1
NGA,USA,3.516404582,1
NZL,AUS,4.628249174,1
AUS,CHN,7.042118628,1
PAK,IND,0.335829681,1
CHN,KOR,6.858788278,1
KOR,CHN,7.327598114,1
PHL,CHN,-0.03432377,1
GRC,DEU,4.915039799,1
RUS,EGY,2.188560964,1
IRQ,TUR,-0.187620269,1
ISR,PSE,-7.558858808,2
USA,CHN,4.671059679,2
GBR,USA,3.43645741,2
USA,GBR,3.761095152,2
USA,IRN,3.098378432,2
CHN,USA,4.543376807,2
PSE,ISR,-7.299742679,2
USA,RUS,2.161364962,2
USA,ISR,2.363372942,2
IRN,USA,2.449372989,2
USA,FRA,2.909320313,2
RUS,UKR,-0.761441717,2
USA,SYR,1.449170205,2
RUS,USA,2.886121518,2
FRA,USA,2.959980904,2
RUS,SYR,-1.854254223,2
USA,CAN,3.581925666,2
CAN,USA,3.598122933,2
ISR,USA,2.163559399,2
UKR,RUS,-0.637624444,2
USA,CUB,6.646264923,2
USA,IRQ,0.519977118,2
CUB,USA,6.393397321,2
USA,JPN,3.635405795,2
USA,MEX,1.834063628,2
JPN,USA,3.83081534,2
TUR,SYR,-3.631186856,2
MEX,USA,1.324323141,2
DEU,USA,3.972855486,2
PAK,AFG,1.36024325,2
USA,DEU,4.637808288,2
AUS,USA,3.25512866,2
IRQ,USA,-0.979818681,2
SYR,USA,1.807014569,2
ZAF,AFR,-0.60850813,2
AFG,PAK,0.615658591,2
USA,AFR,1.387251839,2
TUR,RUS,-3.278872595,2
USA,AFG,1.295430823,2
USA,AUS,3.858420766,2
AFR,USA,0.931739096,2
SYR,RUS,1.10298826,2
RUS,TUR,-1.880050877,2
USA,EUR,5.055572693,2
GBR,FRA,5.220597736,2
FRA,GBR,5.29843808,2
DEU,FRA,7.634475876,2
FRA,DEU,7.48383715,2
SYR,TUR,-0.841512527,2
CHN,JPN,3.876367574,2
RUS,IRN,7.689742479,2
SAU,YEM,-8.368738574,2
AFR,ZAF,1.85741167,2
ISR,IRN,-1.598707735,2
EUR,USA,4.581346378,2
JPN,CHN,4.190420151,2
USA,TUR,3.026184763,2
RUS,CHN,8.490337034,2
AFG,USA,-1.661107392,2
USA,PAK,2.659248909*2,2
USA,SAU,2.659248909*3,2
CHN,RUS,2.659248909*4,2
USA,ITA,2.659248909*5,2
ITA,USA,2.659248909*6,2
FRA,RUS,2.659248909*7,2
TUR,USA,2.659248909*8,2
GBR,CHN,2.659248909*9,2
IRN,RUS,2.659248909*10,2
SAU,USA,2.659248909*11,2
GBR,SYR,2.659248909*12,2
IRN,SYR,2.659248909*13,2
IRN,ISR,2.659248909*14,2
CHN,GBR,2.659248909*15,2
RUS,FRA,2.659248909*16,2
DEU,RUS,2.659248909*17,2
IRQ,SYR,2.659248909*18,2
SYR,IRQ,2.659248909*19,2
PAK,USA,2.659248909*20,2
IRL,GBR,2.659248909*21,2
GBR,EUR,2.659248909*22,2
GBR,IRL,2.659248909*23,2
USA,VNM,2.659248909*24,2
USA,UKR,2.659248909*25,2
YEM,SAU,2.659248909*26,2
GBR,DEU,2.659248909*27,2
GBR,RUS,2.659248909*28,2
RUS,DEU,2.659248909*29,2
IRN,SAU,2.659248909*30,2
DEU,GBR,2.659248909*31,2
GRC,EUR,2.659248909*32,2
VNM,USA,2.659248909*33,2
IRN,IRQ,1.658202568,2
IRL,USA,3.361109783,2
DEU,GRC,4.180773829,2
USA,ESP,3.720769525,2
KOR,JPN,5.831347225,2
ESP,USA,2.493847064,2
CHN,PAK,8.217451496,2
USA,IRL,3.185255932,2
LBN,SYR,-2.796705812,2
KOR,PRK,0.533765065,2
EUR,GRC,5.662448959,2
SAU,IRN,-0.780155701,2
EUR,RUS,0.778993154,2
USA,EGY,2.864299701,2
RUS,GBR,4.433821248,2
DEU,EUR,3.894487488,2
JOR,USA,0.006902711,2
PRK,KOR,-1.079302474,2
GRC,USA,2.708827279,2
AUS,GBR,4.148946542,2
PAK,CHN,8.412863504,2
CHN,TWN,5.134561907,2
USA,GRC,3.557819225,2
GBR,AUS,4.385873007,2
AUS,IDN,0.961308589,2
RUS,EUR,3.545578575,2
JPN,KOR,6.934443944,2
IRQ,IRN,0.88917255,2
EGY,USA,1.710397779,2
TWN,CHN,5.863553856,2
FRA,SYR,-3.145674642,2
IDN,AUS,-1.440583357,2
TUR,IRQ,-1.756356079,2
IND,PAK,-0.26505864,2
CAN,GBR,3.713209189,2
AUS,NZL,4.126145271,2
SYR,IRN,-0.076209044,2
USA,KOR,4.618567269,2
USA,NGA,3.974501341,2
ISR,SYR,-8.231246718,2
KOR,USA,4.782363285,2
EUR,GBR,5.583233533,2
USA,PHL,4.282928137,2
PHL,USA,3.778347167,2
GBR,CAN,4.015060684,2
SYR,LBN,-2.587259021,2
USA,JOR,1.249428518,2
SYR,GBR,0.572527128,2
FRA,EUR,2.298693852,2
NGA,USA,3.516404582,2
NZL,AUS,4.628249174,2
AUS,CHN,7.042118628,2
PAK,IND,0.335829681,2
CHN,KOR,6.858788278,2
KOR,CHN,7.327598114,2
PHL,CHN,-0.03432377,2
GRC,DEU,4.915039799,2
RUS,EGY,2.188560964,2
IRQ,TUR,-0.187620269,2
ISR,PSE,-7.558858808,3
USA,CHN,4.671059679,3
GBR,USA,3.43645741,3
USA,GBR,3.761095152,3
USA,IRN,3.098378432,3
CHN,USA,4.543376807,3
PSE,ISR,-7.299742679,3
USA,RUS,2.161364962,3
USA,ISR,2.363372942,3
IRN,USA,2.449372989,3
USA,FRA,2.909320313,3
RUS,UKR,-0.761441717,3
USA,SYR,1.449170205,3
RUS,USA,2.886121518,3
FRA,USA,2.959980904,3
RUS,SYR,-1.854254223,3
USA,CAN,3.581925666,3
CAN,USA,3.598122933,3
ISR,USA,2.163559399,3
UKR,RUS,-0.637624444,3
USA,CUB,6.646264923,3
USA,IRQ,0.519977118,3
CUB,USA,6.393397321,3
USA,JPN,3.635405795,3
USA,MEX,1.834063628,3
JPN,USA,3.83081534,3
TUR,SYR,-3.631186856,3
MEX,USA,1.324323141,3
DEU,USA,3.972855486,3
PAK,AFG,1.36024325,3
USA,DEU,4.637808288,3
AUS,USA,3.25512866,3
IRQ,USA,3.25512866,3
SYR,USA,3.25512866,3
ZAF,AFR,3.25512866,3
AFG,PAK,3.25512866,3
USA,AFR,3.25512866,3
TUR,RUS,3.25512866,3
USA,AFG,3.25512866,3
USA,AUS,3.858420766,3
AFR,USA,0.931739096,3
SYR,RUS,1.10298826,3
RUS,TUR,-1.880050877,3
USA,EUR,5.055572693,3
GBR,FRA,5.220597736,3
FRA,GBR,5.29843808,3
DEU,FRA,7.634475876,3
FRA,DEU,7.634475876,3
SYR,TUR,7.634475876,3
CHN,JPN,7.634475876,3
RUS,IRN,7.634475876,3
