Actor1CountryCode,Actor2CountryCode,GoldsteinScale,Month
SYR,FJI,-10,0
SSD,COG,-10,0
SRB,JPN,-10,0
MDV,SLV,-10,0
PRT,IRQ,-10,0
VCT,POL,-10,0
NPL,UKR,-10,0
AUS,CRI,-10,0
PSE,ERI,-10,0
HTI,CHL,-10,0
TUN,YEM,-10,0
MKD,POL,-10,0
IRN,PNG,-10,0
ZMB,JAM,-10,0
VEN,HND,-10,0
SOM,TWN,-10,0
IRL,PNG,-10,0
SGP,AFG,-10,0
CAN,AUT,-10,0
JAM,ZMB,-10,0
YEM,SSD,-10,0
LCA,MDV,-10,0
PNG,LAO,-10,0
BOL,GRC,-10,0
GBR,CRI,-10,0
EGY,POL,-10,0
HND,VEN,-10,0
LCA,POL,-10,0
ARE,UKR,-10,0
EST,NLD,-10,0
SYR,BHR,-10,0
SAU,CMR,-10,0
SGP,JOR,-10,0
BFA,UKR,-10,0
PRY,SAU,-10,0
NPL,THA,-10,0
ISL,ARE,-10,0
CMR,IND,-10,0
YEM,COL,-10,0
URY,EGY,-10,0
OMN,IDN,-10,0
MDV,JOR,-10,0
KNA,JOR,-10,0
GRD,LBN,-10,0
DNK,YEM,-10,0
AFG,ZWE,-10,0
ITA,LSO,-10,0
POL,MKD,-10,0
PRT,SEN,10,0
MYS,GTM,-10,0
SYR,GIN,-10,0
BFA,VAT,-10,0
CAF,MDV,-10,0
COG,SSD,-10,0
EGY,PAN,-10,0
NGA,PAN,-10,0
IRQ,RWA,-10,0
DZA,ZAF,-10,0
VNM,BFA,-10,0
AFG,BFA,-10,0
ZAF,LBY,-10,0
MLI,BEL,-10,0
MAR,IND,-10,0
MLI,TUN,-10,0
PNG,IRL,-10,0
AFG,HRV,-10,0
SEA,ECU,-10,0
IRL,GHA,-10,0
ESP,YEM,-10,0
AUT,LKA,10,0
NGA,MLI,-10,0
BFA,EGY,-10,0
SRB,WST,-10,0
YEM,JPN,-10,0
SGP,NGA,-10,0
PSE,MCO,-10,0
SDN,MCO,-10,0
COD,DEU,-10,0
HRV,LBY,-10,0
CAF,SSD,-10,0
LBY,NLD,-10,0
UKR,PRT,-10,0
ECU,SEA,-10,0
GHA,ZMB,-10,0
SOM,UKR,-10,0
CUB,ISL,-10,0
JPN,CYM,-10,0
CAN,ALB,-10,0
SAU,MMR,-10,0
CYM,LTU,-10,0
PAK,VNM,-10,0
ZWE,SYR,-10,0
MAR,AFG,-10,0
DZA,ZWE,-10,0
PER,IRQ,-10,0
CAN,NER,-10,0
SEN,CAF,-10,0
YEM,CAN,-10,0
KEN,LBN,-10,0
KEN,TUN,-10,0
SSD,YEM,-10,0
YEM,CAF,-10,0
GBR,MDG,-10,0
LBN,NZL,-10,0
GTM,MYS,-10,0
MUS,MRT,-10,0
QAT,CMR,-10,0
SLV,MDV,-10,0
CAF,YEM,-10,0
PAN,SEA,-10,0
AGO,LBN,-10,0
NAM,AUS,-10,0
YEM,ESP,-10,0
HTI,RWA,-10,0
TUR,ZWE,-10,0
COD,RUS,10,0
TON,ZAF,-10,0
BFA,TUR,-10,0
POL,TTO,-10,0
BDI,YEM,-10,0
ZWE,TUR,-10,0
LBN,GRD,-10,0
CIV,GBR,-10,0
ITA,UGA,-10,0
AGO,MCO,-10,0
GRD,BLZ,-10,0
PRK,NZL,-10,0
VEN,KEN,-10,0
IDN,DZA,-10,0
SEN,FIN,-10,0
LBR,AUS,-10,0
JOR,CHL,-10,0
IRL,SOM,-10,0
MDG,GBR,-10,0
SYC,SOM,-10,0
JPN,BOL,-10,0
MCO,AGO,-10,0
GAB,MDV,-10,0
BOL,GTM,-10,0
CZE,IRL,-10,0
IND,CMR,-10,0
PHL,KEN,-10,0
RWA,HTI,-10,0
MLI,CIV,-10,0
SAU,IRL,-10,0
AFG,CUB,-10,0
JOR,KNA,-10,0
ETH,BEL,-10,0
JPN,PRY,-10,0
GBR,LBR,-10,0
LBY,MRT,-10,0
YEM,AGO,-10,0
DZA,CAN,-10,0
UKR,AFG,-9.857142857,0
IRQ,VNM,-9.833333333,0
LBN,BGD,-9.833333333,0
DJI,EUR,-9.75,0
MLI,RUS,-9.734375,0
DOM,ITA,-9.666666667,0
SAU,TCD,-9.53125,0
BFA,JOR,-9.5,0
LAO,SGP,-9.5,0
