source,target,strength,month,weight
THA,AUS,-10,0,10.0
USA,BFA,-10,0,10.0
MYS,MNG,-10,0,10.0
CAN,DZA,-10,0,10.0
RUS,MYS,-10,0,10.0
MYS,RUS,-10,0,10.0
MEX,MDV,-10,0,10.0
EGY,EUR,-10,0,10.0
SGP,UGA,-10,0,10.0
WST,AFG,-10,0,10.0
DNK,IDN,-10,0,10.0
RUS,LVA,-10,0,10.0
DEU,EGY,10,0,10.0
AFG,FRA,-10,0,10.0
GRC,CHN,-10,0,10.0
KEN,AFR,-10,0,10.0
CAN,IRL,-10,0,10.0
AFG,BFA,-10,0,10.0
BFA,USA,-10,0,10.0
ISR,LBN,-10,0,10.0
EGY,DJI,-10,0,10.0
BLZ,CAN,-10,0,10.0
CHN,GRC,-10,0,10.0
AFR,GBR,-10,0,10.0
MYS,PHL,-10,0,10.0
EUR,ISR,-10,0,10.0
SOM,AFR,-10,0,10.0
IDN,CAN,-10,0,10.0
AUS,THA,-10,0,10.0
GTM,HND,-10,0,10.0
SEA,PHL,-10,0,10.0
MMR,MYS,-10,0,10.0
USA,ZWE,-10,0,10.0
MYS,UKR,-10,0,10.0
AFG,AUS,-10,0,10.0
IDN,PAK,-10,0,10.0
GBR,TZA,-10,0,10.0
YEM,AUS,-10,0,10.0
QAT,EGY,-10,0,10.0
MYS,IRQ,-10,0,10.0
PAK,ZAF,-10,0,10.0
SAU,TCD,-10,0,10.0
BLZ,USA,-9.75,0,9.75
MKD,SRB,-9.5,0,9.5
AUS,ZAF,-9.5,0,9.5
VNM,LAO,-9.5,0,9.5
MDV,AUS,-9,0,9.0
SOM,AUS,-9,0,9.0
BFA,NER,-9,0,9.0
MYS,IDN,-9,0,9.0
AFR,BDI,9,0,9.0
MNG,MYS,-9,0,9.0
CHE,MLI,-9,0,9.0
CZE,POL,-9,0,9.0
BFA,AUS,-9,0,9.0
AFR,BFA,-9,0,9.0
SYR,ISR,-9,0,9.0
GRC,DNK,-9,0,9.0
ETH,SOM,-8.6,0,8.6
PHL,SEA,-8.333333333,0,8.333333333
UKR,MYS,-8.333333333,0,8.333333333
USA,CMR,8.3,0,8.3
LBY,USA,-8.3,0,8.3
RUS,UKR,8,0,8.0
DEU,AFG,8,0,8.0
AFG,DEU,8,0,8.0
BFA,MLI,-7.566666667,0,7.566666667
IRQ,GBR,-7.5,0,7.5
AUS,IRQ,7.4,0,7.4
NPL,ASA,7.4,0,7.4
NIC,CRI,7.4,0,7.4
MYS,CHE,7.4,0,7.4
PSE,EUR,7.4,0,7.4
SAU,MYS,7.4,0,7.4
SRB,MKD,7.4,0,7.4
EUR,LUX,7.4,0,7.4
NOR,CHN,7.4,0,7.4
CAN,MDV,7.4,0,7.4
EUR,CHE,7.4,0,7.4
USA,MLI,7.4,0,7.4
MLI,USA,7.4,0,7.4
AFG,KOR,-7.2,0,7.2
ARE,SYR,-7.2,0,7.2
WST,RUS,-7.2,0,7.2
GBR,PGS,-7.2,0,7.2
CMR,USA,7.15,0,7.15
LAO,CHE,7,0,7.0
USA,BHR,7,0,7.0
CAN,WST,7,0,7.0
KOR,JPN,7,0,7.0
SOM,SDN,7,0,7.0
USA,IND,7,0,7.0
IRN,KWT,7,0,7.0
LBN,USA,7,0,7.0
IRQ,NGA,7,0,7.0
SAU,SDN,7,0,7.0
LBY,NGA,7,0,7.0
SDN,SSD,7,0,7.0
BHR,SOM,7,0,7.0
VNM,THA,7,0,7.0
USA,THA,7,0,7.0
EGY,QAT,-7,0,7.0
MYS,SAU,7,0,7.0
USA,FIN,7,0,7.0
YEM,NGA,7,0,7.0
UKR,POL,7,0,7.0
NLD,USA,7,0,7.0
USA,BOL,7,0,7.0
USA,BGD,7,0,7.0
MMR,USA,7,0,7.0
AUS,JPN,7,0,7.0
USA,LBN,7,0,7.0
BOL,USA,7,0,7.0
CAN,LBY,7,0,7.0
ARE,JOR,7,0,7.0
IRN,RUS,7,0,7.0
ISR,SYR,7,0,7.0
SOM,BHR,7,0,7.0
SYR,AUT,7,0,7.0
MMR,CHN,7,0,7.0
DJI,USA,7,0,7.0
SOM,SAU,7,0,7.0
AUT,SYR,7,0,7.0
JOR,DEU,7,0,7.0
SDN,SAU,7,0,7.0
VNM,MYS,7,0,7.0
SYR,NGA,7,0,7.0
GBR,SDN,7,0,7.0
UKR,NGA,7,0,7.0
USA,LBR,7,0,7.0
USA,TWN,7,0,7.0
JPN,IRN,7,0,7.0
JPN,AUS,7,0,7.0
SAU,SOM,7,0,7.0
SDN,SOM,7,0,7.0
CHN,SWE,7,0,7.0
USA,CIV,7,0,7.0
CMR,NGA,-6.866666667,0,6.866666667
MYS,SEA,-6.75,0,6.75
AFR,EUR,-6.666666667,0,6.666666667
LBN,ISR,-6.65,0,6.65
ISR,PSE,-6.571111111,0,6.571111111
IRN,IRQ,-6.5,0,6.5
ARG,BRA,6.5,0,6.5
AUS,SAU,-6.5,0,6.5
KWT,ARE,-6.5,0,6.5
LBN,PAK,-6.5,0,6.5
FRA,MLI,6.485714286,0,6.485714286
HUN,MKD,6.4,0,6.4
THA,VNM,6.4,0,6.4
USA,EGY,6.4,0,6.4
CHN,NGA,6.4,0,6.4
RUS,TUR,-6.16,0,6.16
COL,ESP,6,0,6.0
